course_name,organization,description,skills,difficulty_level,rating,course_url,prerequisites
Machine Learning Specialization,Stanford / DeepLearning.AI,"Build fundamental AI concepts: supervised learning, unsupervised learning, recommender systems, and reinforcement learning.",Python|Machine Learning|NumPy|Scikit-learn|TensorFlow|Statistics,Beginner,4.9,https://www.coursera.org/specializations/machine-learning-introduction,
Deep Learning Specialization,DeepLearning.AI,"Master deep learning: neural networks, CNNs, RNNs, LSTM, transformers, and NLP applications.",Deep Learning|TensorFlow|Neural Networks|CNNs|RNNs|Python,Intermediate,4.9,https://www.coursera.org/specializations/deep-learning,Python|Machine Learning
IBM Data Science Professional Certificate,IBM,"Python, SQL, data visualization, machine learning, and real-world projects on IBM Cloud.",Python|SQL|Data Science|Data Visualization|Machine Learning|Jupyter,Beginner,4.6,https://www.coursera.org/professional-certificates/ibm-data-science,
Google Data Analytics Certificate,Google,"Data collection, transformation, and analysis using SQL, R, and Tableau.",SQL|R|Data Analysis|Tableau|Data Visualization|Excel,Beginner,4.8,https://www.coursera.org/professional-certificates/google-data-analytics,
AWS Cloud Practitioner Essentials,Amazon Web Services,"Foundational AWS cloud concepts, services, security, architecture, and pricing.",AWS|Cloud Computing|Cloud Architecture|Security|Networking,Beginner,4.7,https://www.coursera.org/learn/aws-cloud-practitioner-essentials,
TensorFlow Developer Professional Certificate,DeepLearning.AI,"Build and train neural networks using TensorFlow for image recognition, NLP, and time series.",TensorFlow|Deep Learning|Python|Computer Vision|NLP|Neural Networks,Intermediate,4.7,https://www.coursera.org/professional-certificates/tensorflow-in-practice,Deep Learning|Python
Natural Language Processing Specialization,DeepLearning.AI,"NLP with attention, transformers, BERT, GPT, machine translation, and question answering.",NLP|Python|TensorFlow|BERT|Transformers|Deep Learning,Advanced,4.8,https://www.coursera.org/specializations/natural-language-processing,Deep Learning
Applied Data Science with Python,University of Michigan,"Data manipulation, ML, text mining, and social network analysis with Python.",Python|Pandas|Scikit-learn|Matplotlib|Data Science|Statistics,Intermediate,4.5,https://www.coursera.org/specializations/data-science-python,Python
IBM Data Engineering Professional Certificate,IBM,"Data engineering with Python, SQL, NoSQL, big data, Spark, ETL, and data warehousing.",Python|SQL|Apache Spark|NoSQL|ETL|Data Engineering|IBM Cloud,Intermediate,4.6,https://www.coursera.org/professional-certificates/ibm-data-engineer,Python|SQL
Google Cloud Professional Data Engineer,Google Cloud,"Design and build data processing systems using BigQuery, Dataflow, and Pub/Sub.",GCP|BigQuery|Dataflow|Data Engineering|Cloud Computing|Python,Advanced,4.7,https://www.coursera.org/professional-certificates/gcp-data-engineering,Cloud Computing|Python
Meta Front-End Developer Certificate,Meta,"Build web pages with HTML, CSS, JavaScript, and React. Create responsive UIs.",HTML|CSS|JavaScript|React|Node.js|REST APIs,Beginner,4.7,https://www.coursera.org/professional-certificates/meta-front-end-developer,
Full Stack Web Development with React,HKUST,"Bootstrap, React, Angular, Node.js, Express.js, and MongoDB for full-stack apps.",React|Node.js|JavaScript|MongoDB|Express.js|REST APIs,Intermediate,4.5,https://www.coursera.org/specializations/full-stack-react,JavaScript
Python for Everybody Specialization,University of Michigan,"Program and analyze data with Python: web scraping, APIs, databases, and visualization.",Python|SQL|Data Analysis|Web Scraping|JSON|APIs,Beginner,4.8,https://www.coursera.org/specializations/python,
SQL for Data Science,UC Davis,"Intermediate-level SQL queries using SELECT, filtering, JOINs, and aggregations.",SQL|Data Analysis|Database Management|SQLite|Data Filtering,Beginner,4.6,https://www.coursera.org/learn/sql-for-data-science,
Statistics with Python Specialization,University of Michigan,"Statistical analysis with Python: probability, hypothesis testing, and regression.",Python|Statistics|Pandas|Scipy|Data Analysis|Hypothesis Testing,Intermediate,4.5,https://www.coursera.org/specializations/statistics-with-python,Python
MLOps Specialization,DeepLearning.AI,"Build, deploy, and maintain production ML systems with feature engineering and monitoring.",MLOps|Python|TensorFlow|Docker|Kubernetes|ML Pipelines,Advanced,4.7,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops,Machine Learning|Deep Learning
Docker and Kubernetes: Complete Guide,Udemy,"Build production-grade apps with Docker and Kubernetes from scratch.",Docker|Kubernetes|DevOps|CI/CD|Node.js|AWS,Intermediate,4.8,https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/,
Microsoft Azure Fundamentals AZ-900,Microsoft,"Cloud concepts and Azure services: security, privacy, compliance, and trust.",Azure|Cloud Computing|Security|Networking|Cloud Architecture,Beginner,4.7,https://learn.microsoft.com/en-us/certifications/azure-fundamentals/,
Computer Vision with TensorFlow,DeepLearning.AI,"CNN, object detection, segmentation, and transfer learning with TensorFlow.",Computer Vision|TensorFlow|CNNs|Object Detection|Python|Deep Learning,Intermediate,4.6,https://www.coursera.org/learn/convolutional-neural-networks,Deep Learning
Reinforcement Learning Specialization,University of Alberta,"Q-learning, policy gradients, actor-critic methods, and RL applications.",Reinforcement Learning|Python|Machine Learning|Neural Networks|OpenAI Gym,Advanced,4.6,https://www.coursera.org/specializations/reinforcement-learning,Machine Learning
Business Analytics Specialization,UPenn / Wharton,"Customer analytics, people analytics, and accounting analytics for business problems.",Business Intelligence|Data Analysis|Excel|Tableau|Statistics|SQL,Beginner,4.6,https://www.coursera.org/specializations/business-analytics,
Apache Spark and Scala,Databricks,"Large-scale data processing, streaming, ML pipelines, and graph processing with Spark.",Apache Spark|Scala|Big Data|Data Engineering|MLlib|Databricks,Advanced,4.7,https://www.coursera.org/learn/scala-spark-big-data,Python|SQL
Generative AI with Large Language Models,DeepLearning.AI / AWS,"Fundamentals of generative AI, fine-tuning, RLHF, and deploying LLM applications.",LLMs|Python|Generative AI|Transformers|Fine-tuning|AWS,Intermediate,4.8,https://www.coursera.org/learn/generative-ai-with-llms,Deep Learning|Python
Data Warehousing and BI Analytics,UC Boulder,"Design data warehouses, build ETL pipelines, and create BI dashboards with Tableau.",Data Warehousing|ETL|SQL|Tableau|Power BI|Business Intelligence,Intermediate,4.5,https://www.coursera.org/specializations/data-warehousing,SQL
Agile Project Management,Google,"Agile methodology, Scrum, Kanban, sprint planning, and stakeholder communication.",Agile|Scrum|Project Management|Kanban|Leadership|Communication,Beginner,4.8,https://www.coursera.org/professional-certificates/google-project-management,
Fundamentals of Data Engineering,O'Reilly / Coursera,"Data engineering lifecycle: source systems, ingestion, transformation, storage, and serving.",Data Engineering|Kafka|Apache Spark|dbt|SQL|Airflow,Intermediate,4.6,https://www.coursera.org/learn/data-engineering-fundamentals,SQL|Python
Prompt Engineering for ChatGPT,Vanderbilt University,"Effectively craft prompts for GPT-4 and ChatGPT for various use cases.",Prompt Engineering|LLMs|ChatGPT|Generative AI|Python,Beginner,4.7,https://www.coursera.org/learn/prompt-engineering,
